date,day_of_week,month,week_of_year,total_steps,steps_morning,steps_early_afternoon,steps_late_afternoon,steps_evening,steps_night
2023-01-01,Sunday,January,52,11503,399,0,8043,2643,418
2023-01-02,Monday,January,1,14037,10,0,1355,5891,6781
2023-01-03,Tuesday,January,1,2692,17,0,945,0,1730
2023-01-04,Wednesday,January,1,9372,8,8,3676,0,5680
2023-01-05,Thursday,January,1,8143,2,0,3644,0,4497
2023-01-06,Friday,January,1,7804,7,0,3453,0,4344
2023-01-07,Saturday,January,1,15893,9,0,0,4375,11509
2023-01-08,Sunday,January,1,5499,27,0,2643,8,2821
2023-01-09,Monday,January,2,9476,4,11,5135,7,4319
2023-01-10,Tuesday,January,2,10252,4,11,4306,1348,4583
2023-01-11,Wednesday,January,2,9616,2,0,5195,0,4419
2023-01-12,Thursday,January,2,10,3,0,7,0,0
2023-01-13,Friday,January,2,9995,18,14,2,2296,7665
2023-01-14,Saturday,January,2,16159,21,0,3,4451,11684
2023-01-15,Sunday,January,2,9260,30,0,0,2619,6611
2023-01-16,Monday,January,3,14338,76,6,3,8373,5880
2023-01-17,Tuesday,January,3,9062,65,0,6,3379,5612
2023-01-18,Wednesday,January,3,10098,36,0,44,3433,6585
2023-01-19,Thursday,January,3,9511,0,0,3533,38,5940
2023-01-20,Friday,January,3,10607,4,93,4889,7,5614
2023-01-21,Saturday,January,3,13876,2,0,11,3091,10772
2023-01-22,Sunday,January,3,14764,0,0,3546,3715,7503
2023-01-23,Monday,January,4,9540,14,0,4941,381,4204
2023-01-24,Tuesday,January,4,10866,12,2,3992,10,6850
2023-01-25,Wednesday,January,4,9208,0,0,3632,0,5576
2023-01-26,Thursday,January,4,8127,5,0,3917,0,4205
2023-01-27,Friday,January,4,14390,556,0,4222,0,9612
2023-01-28,Saturday,January,4,15033,6004,0,1393,848,6788
2023-01-29,Sunday,January,4,15710,435,0,5,8678,6592
2023-01-30,Monday,January,5,22873,15,0,953,6972,14933
2023-01-31,Tuesday,January,5,4021,4,0,2052,322,1643
2023-02-01,Wednesday,February,5,9915,5,1606,3266,0,5038
2023-02-02,Thursday,February,5,5735,11,22,3586,0,2116
2023-02-03,Friday,February,5,9176,2,3532,0,0,5642
2023-02-04,Saturday,February,5,11476,0,7,9,4009,7451
2023-02-05,Sunday,February,5,13566,16,0,1540,6025,5985
2023-02-06,Monday,February,6,6627,52,22,3357,0,3196
2023-02-07,Tuesday,February,6,7753,0,10,3414,0,4329
2023-02-08,Wednesday,February,6,7604,8,0,3620,0,3976
2023-02-09,Thursday,February,6,7938,8,16,3655,4,4255
2023-02-10,Friday,February,6,7263,12,16,3336,0,3899
2023-02-11,Saturday,February,6,13985,12,0,0,3172,10801
2023-02-12,Sunday,February,6,12191,10,0,2601,4656,4924
2023-02-13,Monday,February,7,4254,2,0,0,3350,902
2023-02-14,Tuesday,February,7,7249,3,10,3664,0,3572
2023-02-15,Wednesday,February,7,7326,11,0,3446,2,3867
2023-02-16,Thursday,February,7,7155,9,0,3286,0,3860
2023-02-17,Friday,February,7,8982,0,0,1914,3624,3444
2023-02-18,Saturday,February,7,14212,9,0,3,4212,9988
2023-02-19,Sunday,February,7,8970,10,0,0,0,8960
2023-02-20,Monday,February,8,11003,2,0,14,636,10351
2023-02-21,Tuesday,February,8,9060,2,0,3361,0,5697
2023-02-22,Wednesday,February,8,5882,10,0,3452,0,2420
2023-02-23,Thursday,February,8,7690,4,754,2794,0,4138
2023-02-24,Friday,February,8,9337,11,0,5313,195,3818
2023-02-25,Saturday,February,8,14721,95,15,0,4729,9882
2023-02-26,Sunday,February,8,10474,255,0,0,3548,6671
2023-02-27,Monday,February,9,3688,0,0,3617,0,71
